iter	RMSE
0	75081.71664
1	70542.13199
2	66177.52169
3	62593.73782
4	59183.39577
5	56217.96627
6	53316.05879
7	50732.02711
8	48406.94293
9	46320.52362
10	44397.45698
11	42821.79884
12	41342.56597
13	39730.22667
14	38477.96232
15	37070.49376
16	35904.92921
17	34846.19088
18	33767.66148
19	33030.96002
20	32224.65793
21	31476.75176
22	30677.29488
23	30031.98639
24	29467.05291
25	28883.85771
26	28447.38218
27	28127.04285
28	27630.58001
29	27130.25821
30	26711.22324
31	26377.16508
32	25952.36872
33	25652.94813
34	25348.01417
35	24970.25994
36	24599.57117
37	24293.78797
38	24051.86735
39	23742.77064
40	23451.31689
41	23185.40335
42	23010.88047
43	22781.57261
44	22640.98241
45	22479.25849
46	22274.21037
47	22217.11728
48	22156.79316
49	21948.51075
50	21879.46179
51	21772.87903
52	21647.26835
53	21499.94653
54	21332.1109
55	21187.24648
56	21076.65688
57	20913.17654
58	20730.87985
59	20588.74708
60	20534.71937
61	20394.33857
62	20340.28076
63	20149.89909
64	20105.7871
65	20028.86393
66	19974.46858
67	19871.33957
68	19804.65645
69	19767.1422
70	19627.56142
71	19592.39538
72	19544.73057
73	19514.88807
74	19342.01559
75	19246.3377
76	19114.06067
77	19075.62794
78	19040.5633
79	18996.62083
80	18873.93985
81	18792.06515
82	18666.15778
83	18629.05909
84	18598.77745
85	18563.50915
86	18424.75767
87	18305.2428
88	18271.46816
89	18243.25729
90	18215.70713
91	18089.80686
92	17966.2628
93	17937.19014
94	17856.35666
95	17831.6459
96	17730.56066
97	17621.71947
98	17593.13288
99	17568.50064
100	17490.28401
101	17464.57999
102	17372.44487
103	17289.46013
104	17187.80807
105	17166.77927
106	17102.79739
107	17082.95059
108	16989.68352
109	16967.66201
110	16881.21389
111	16808.43111
112	16790.10013
113	16767.9343
114	16696.61157
115	16613.27731
116	16597.08072
117	16547.20229
118	16531.34163
119	16516.59564
120	16436.68858
121	16367.53622
122	16288.46091
123	16274.55431
124	16196.14131
125	16155.02052
126	16079.55539
127	15990.15534
128	15914.14062
129	15879.81982
130	15797.47001
131	15785.2211
132	15707.6041
133	15678.99812
134	15652.71481
135	15587.93677
136	15507.5969
137	15431.93757
138	15371.63825
139	15352.69023
140	15311.93173
141	15280.17159
142	15267.66098
143	15228.96781
144	15131.9465
145	15071.33251
146	15019.46222
147	14959.08152
148	14947.38078
149	14926.44071
150	14856.11684
151	14842.84949
152	14782.17324
153	14769.33196
154	14707.02257
155	14682.42709
156	14651.86099
157	14602.15512
158	14541.18762
159	14519.14702
160	14507.73493
161	14497.40316
162	14478.3884
163	14428.8859
164	14418.14823
165	14360.49669
166	14293.40271
167	14282.42963
168	14233.67653
169	14179.34788
170	14134.36195
171	14117.57175
172	14074.18894
173	14023.60618
174	13986.3358
175	13975.26528
176	13915.50237
177	13871.81131
178	13832.23588
179	13822.06086
180	13782.18416
181	13719.47753
182	13706.16517
183	13644.75835
184	13579.82263
185	13531.15347
186	13523.9023
187	13466.83505
188	13458.15692
189	13447.62839
190	13422.45479
191	13373.85495
192	13348.80421
193	13284.25104
194	13273.20376
195	13239.32985
196	13227.18509
197	13191.94745
198	13182.48372
199	13162.49378
200	13108.18853
201	13047.2762
202	13035.79603
203	12994.45295
204	12946.95455
205	12937.77889
206	12891.44274
207	12834.35261
208	12781.21508
209	12764.13153
210	12731.55411
211	12724.59588
212	12691.42271
213	12648.72122
214	12637.94439
215	12584.45829
216	12550.45365
217	12543.23072
218	12536.24928
219	12492.11214
220	12485.08251
221	12461.11952
222	12454.76096
223	12416.85158
224	12366.43316
225	12322.37574
226	12315.69235
227	12261.67387
228	12213.56376
229	12204.11184
230	12197.66066
231	12188.80654
232	12134.82525
233	12102.22632
234	12060.62371
235	12020.56847
236	12014.63787
237	11999.13329
238	11992.89861
239	11967.17603
240	11938.61903
241	11908.58108
242	11888.62718
243	11844.4096
244	11838.40392
245	11831.07327
246	11798.02359
247	11767.08253
248	11745.73919
249	11702.02832
250	11696.13048
251	11647.24811
252	11605.11013
253	11598.34651
254	11571.16002
255	11538.98516
256	11531.01262
257	11524.62298
258	11489.99584
259	11470.26551
260	11464.66424
261	11437.73209
262	11432.23876
263	11395.45892
264	11356.81195
265	11351.92501
266	11336.52724
267	11315.06709
268	11309.08989
269	11284.70897
270	11254.98978
271	11249.38549
272	11243.75096
273	11236.53062
274	11231.01383
275	11216.35712
276	11211.45863
277	11186.85211
278	11181.46818
279	11146.75728
280	11141.51381
281	11135.90872
282	11105.76999
283	11092.53564
284	11087.39548
285	11081.94445
286	11077.13234
287	11072.03747
288	11067.45677
289	11039.2288
290	11000.65128
291	10994.82599
292	10990.38276
293	10985.59893
294	10977.33071
295	10931.49868
296	10885.71544
297	10863.74772
298	10831.4794
299	10826.6719
